Date,Month,Year,Holidays_Count,Days,PM2.5,PM10,NO2,SO2,CO,Ozone,AQI
1,1,2021,0,5,180.57,458.9,42.35,10.03,1.57,19.04,336
2,1,2021,0,6,146.71,371.52,27.41,10.05,1.14,13.37,351
3,1,2021,1,7,76.94,190.39,13.17,10.32,0.96,14.67,241
4,1,2021,0,1,58.12,111.38,67.6,12.79,1.01,12.77,90
5,1,2021,0,2,44.66,86.96,55.96,9.97,1.41,15.82,99
6,1,2021,0,3,74.92,158.51,24.95,10.87,1.14,18.63,125
7,1,2021,0,4,68.94,158.37,21.69,9.63,1.22,17.04,164
8,1,2021,0,5,67.81,154.24,15.97,10.32,1.3,17.07,125
9,1,2021,0,6,82.81,197.12,18.89,10.39,1.18,21.45,182
10,1,2021,1,7,72.44,152.12,14.32,9.53,1,16.58,148
11,1,2021,0,1,80.95,167.24,15.17,9.83,1.15,24.15,167
12,1,2021,0,2,84.14,213.35,13.37,12.27,0.95,16.6,185
13,1,2021,0,3,116.08,315.32,22.61,13.57,1.64,15.13,253
14,1,2021,0,4,218.99,500.68,45.65,13.48,1.56,20.03,349
15,1,2021,0,5,228.87,571.14,36.16,15.02,1.92,22.8,435
16,1,2021,0,6,118.15,240.92,18.57,11.12,1.29,17.76,303
17,1,2021,1,7,108.19,203.19,13.28,11.1,1.53,18.45,232
18,1,2021,0,1,125.55,250.27,14.53,18.76,1.08,20.38,263
19,1,2021,0,2,143.08,329.33,8.81,9.78,1.37,15.31,316
20,1,2021,0,3,72.58,152.81,5.31,12,0.92,17.18,134
21,1,2021,0,4,84.71,187.89,8.86,12.27,1,22.61,172
22,1,2021,0,5,122.53,305.75,10.68,11.97,1.22,17.72,278
23,1,2021,0,6,80.89,204.21,5.36,11.51,1.47,22.88,187
24,1,2021,1,7,106.69,239.53,5.41,11.07,1.28,10.07,235
25,1,2021,0,1,96.73,231.87,10.72,11.98,1.24,15.64,205
26,1,2021,1,2,91.3,215.82,12.56,10.59,1.12,18.47,196
27,1,2021,0,3,94.92,208.69,16.14,11.63,1.7,19.2,216
28,1,2021,0,4,115.76,248.76,27.12,13.01,1.26,17.71,236
29,1,2021,0,5,113.86,268.99,32.37,11.29,1.1,22.87,268
30,1,2021,0,6,92.29,222.38,31.47,12.22,1.19,22.78,200
31,1,2021,1,7,93.15,227.62,32.01,13.54,0.92,23.08,214
1,2,2021,0,1,115.01,250.44,38.94,12.02,1.4,23.36,251
2,2,2021,0,2,122.27,281.65,39.95,14.12,1.24,25.18,269
3,2,2021,0,3,89.64,221.46,33.11,11.99,1.15,28.06,208
4,2,2021,0,4,77.81,184.34,30.9,8.67,1.31,16.49,203
5,2,2021,0,5,55.97,112.64,29.43,5.52,1.84,17.04,104
6,2,2021,0,6,58.99,117.16,28.84,5.91,0.92,20.45,109
7,2,2021,1,7,66.47,172.36,30.16,4.97,0.68,16.88,134
8,2,2021,0,1,86.35,268.63,19.73,6.84,1.34,18.27,178
9,2,2021,0,2,94.92,231.97,38.32,8.08,1.17,17.72,217
10,2,2021,0,3,88.67,221.18,40.73,5.4,1.15,20.53,191
11,2,2021,0,4,104.58,233.99,38.6,8.39,1.22,17.79,232
12,2,2021,0,5,96.35,217.19,33.97,7.28,1.17,14.9,215
13,2,2021,0,6,86.45,250.34,29.72,7.86,1.55,19.41,183
14,2,2021,1,7,120.71,350.54,38.24,7.83,1.3,28.98,319
15,2,2021,0,1,108.76,284.39,38.33,7.36,1.14,27.1,257
16,2,2021,0,2,100.8,281.46,42.79,7.1,1.06,30.63,234
17,2,2021,0,3,108.28,360.99,38.9,7.59,1.21,28.22,295
18,2,2021,0,4,103.04,324.7,41.04,8.08,1.04,23.51,289
19,2,2021,0,5,86.08,316.81,33.87,7.03,1.24,20.17,275
20,2,2021,0,6,62.31,169.41,31.88,7.18,0.94,28.24,159
21,2,2021,1,7,95.2,369.53,34.27,10.06,1.08,22.06,281
22,2,2021,0,1,86.43,357.19,32.99,7.74,1.12,20.63,283
23,2,2021,0,2,78.79,367.3,35.62,8.68,1.09,24.41,287
24,2,2021,0,3,91.83,398.59,36.92,9.24,1.66,23.62,360
25,2,2021,0,4,82.2,407.85,33.76,8.48,0.89,17.98,309
26,2,2021,0,5,71.37,271.28,29.92,13.06,1.05,19.6,245
27,2,2021,0,6,79.63,219.59,26.75,10.27,1.47,25.87,184
28,2,2021,1,7,83.1,274.57,28.3,11.96,1.29,36.29,253
1,3,2021,0,1,65.2,224.29,31.05,10.37,1.04,25.26,186
